iteration,cost,selected operator,applied changes,improved cost
242,7.499082683899593,TWOOPT,True,False
243,8.763675698468276,RELOCATE,True,False
244,7.983218764068676,TWOOPT,True,True
245,8.451181323466553,TWOOPT,True,False
246,8.063240137724842,TWOOPT,True,True
247,8.045628130867115,TWOOPT,True,True
248,8.013206789753696,TWOOPT,True,True
249,8.194895594957602,TWOOPT,True,False
250,8.534509166684273,RELOCATE,True,False
251,8.753680025783263,TWOOPT,True,False
252,8.333199358347489,TWOOPT,True,True
253,8.189014310309354,TWOOPT,True,True
254,7.714258855354169,TWOOPT,True,True
255,8.29439637721382,RELOCATE,True,False
256,8.300622312293541,TWOOPT,True,False
257,7.827515893140971,RELOCATE,True,True
258,7.705311728559023,RELOCATE,True,True
259,7.905952513810343,TWOOPT,True,False
260,8.154658496101316,TWOOPT,True,False
261,8.065881746046806,TWOOPT,True,True
262,8.275980345500747,TWOOPT,True,False
263,7.4690571536524875,RELOCATE,True,True
264,7.287868446589483,TWOOPT,True,True
265,6.883836603549111,TWOOPT,True,True
266,8.04477987594865,TWOOPT,True,False
267,8.133166068273484,TWOOPT,True,False
268,7.816384885127598,RELOCATE,True,True
269,8.514463791175036,TWOOPT,True,False
270,8.313713602009013,TWOOPT,True,True
271,8.299354706713716,TWOOPT,True,True
272,8.80054363682077,TWOOPT,True,False
273,8.39488492514606,TWOOPT,True,True
274,8.002573758612805,TWOOPT,True,True
275,8.31212004164589,TWOOPT,True,False
276,8.134043929705623,RELOCATE,True,True
277,8.107586443925285,TWOOPT,True,True
278,8.329161638548126,RELOCATE,True,False
279,8.417824595526938,TWOOPT,True,False
280,8.521180570494762,TWOOPT,True,False
281,8.47204697676299,TWOOPT,True,True
282,8.725832689172574,TWOOPT,True,False
283,9.410158206950939,TWOOPT,True,False
284,9.141921439873297,TWOOPT,True,True
285,8.71046121035009,RELOCATE,True,True
286,9.410543260474599,TWOOPT,True,False
287,9.310075349551209,TWOOPT,True,True
288,8.54197390651047,TWOOPT,True,True
289,8.822100963659874,TWOOPT,True,False
290,8.10845468365718,RELOCATE,True,True
291,7.955678358450532,RELOCATE,True,True
