file,initial,TWOOPT weight,RELOCATE weight,GLOBAL_RELOCATE weight,GLOBAL_EXCHANGE weight,iterations,target costfunction,cost (final solution),costs per MURMEL (final solution),cost (initial solution),costs per MURMEL (initial solution),costfunction 2 (no target),cost 2 (best solution),Tmin,Tmax,runtime (s),two opts,two opts with improvement,relocates,relocates with improvement,global relocates,global relocates with improvement,global exchanges,global exchanges with improvement
example_problems/ch130.tsp,SWEEP_HEURISTIC_MA,4.0,1.0,1.0,4.0,3000,ENERGY_CONSUMPTION,4279.259336875,"[929.9272531250001, 908.1672531250001, 785.2548306250001]",5969.369336875,"[1027.1672531250001, 1039.067253125, 788.144830625]",TIME,1689.0028549382716,0.01,10.0,0.45,68,63,7,7,0,0,13,11
example_problems/ch130.tsp,SWEEP_HEURISTIC_MA,4.0,1.0,1.0,4.0,3000,ENERGY_CONSUMPTION,4632.569336875,"[844.0766475, 1277.40785875, 866.5148306250001]",5969.369336875,"[1027.1672531250001, 1039.067253125, 788.144830625]",TIME,2319.8788580246915,0.01,10.0,0.45,60,51,8,7,3,2,15,13
example_problems/ch130.tsp,SWEEP_HEURISTIC_MA,4.0,1.0,1.0,4.0,3000,ENERGY_CONSUMPTION,4326.789336875001,"[1046.207253125, 900.6872531250001, 870.5948306250001]",5969.369336875,"[1027.1672531250001, 1039.067253125, 788.144830625]",TIME,1900.1139660493827,0.01,10.0,0.45,62,49,9,7,0,0,25,23
example_problems/ch130.tsp,SWEEP_HEURISTIC_MA,4.0,1.0,1.0,4.0,3000,ENERGY_CONSUMPTION,4615.659336875,"[1199.207253125, 1070.687253125, 805.144830625]",5969.369336875,"[1027.1672531250001, 1039.067253125, 788.144830625]",TIME,2177.89174382716,0.01,10.0,0.44,57,47,10,8,0,0,19,15
example_problems/ch130.tsp,SWEEP_HEURISTIC_MA,4.0,1.0,1.0,4.0,3000,ENERGY_CONSUMPTION,4565.579336875,"[1117.77785875, 982.9672531250001, 800.5542250000001]",5969.369336875,"[1027.1672531250001, 1039.067253125, 788.144830625]",TIME,2030.0640432098764,0.01,10.0,0.45,62,50,14,10,2,2,3,1
example_problems/ch130.tsp,SWEEP_HEURISTIC_MA,4.0,1.0,1.0,4.0,3000,ENERGY_CONSUMPTION,4344.739336875,"[1068.13785875, 994.5266475000001, 671.524830625]",5969.369336875,"[1027.1672531250001, 1039.067253125, 788.144830625]",TIME,1939.9405864197531,0.01,10.0,0.45,57,45,10,10,1,1,9,7
example_problems/ch130.tsp,SWEEP_HEURISTIC_MA,4.0,1.0,1.0,4.0,3000,ENERGY_CONSUMPTION,4463.399336875,"[1023.0872531250001, 1055.04785875, 724.224225]",5969.369336875,"[1027.1672531250001, 1039.067253125, 788.144830625]",TIME,1916.1751543209878,0.01,10.0,0.44,69,58,11,11,1,1,16,14
example_problems/ch130.tsp,SWEEP_HEURISTIC_MA,4.0,1.0,1.0,4.0,3000,ENERGY_CONSUMPTION,4410.539336875001,"[1126.1072531250002, 1051.6472531250001, 715.3848306250001]",5969.369336875,"[1027.1672531250001, 1039.067253125, 788.144830625]",TIME,2045.1756944444444,0.01,10.0,0.45,59,52,6,5,0,0,10,9
example_problems/ch130.tsp,SWEEP_HEURISTIC_MA,4.0,1.0,1.0,4.0,3000,ENERGY_CONSUMPTION,4417.689336875,"[1024.787253125, 1046.037253125, 656.394830625]",5969.369336875,"[1027.1672531250001, 1039.067253125, 788.144830625]",TIME,1899.805324074074,0.01,10.0,0.45,58,44,8,8,0,0,17,17
example_problems/ch130.tsp,SWEEP_HEURISTIC_MA,4.0,1.0,1.0,4.0,3000,ENERGY_CONSUMPTION,4409.479336875,"[1029.547253125, 976.50785875, 770.464225]",5969.369336875,"[1027.1672531250001, 1039.067253125, 788.144830625]",TIME,1869.8670524691358,0.01,10.0,0.45,55,43,9,9,1,1,14,11
