file,initial,TWOOPT weight,RELOCATE weight,GLOBAL_RELOCATE weight,GLOBAL_EXCHANGE weight,iterations,target costfunction,cost (final solution),costs per MURMEL (final solution),cost (initial solution),costs per MURMEL (initial solution),costfunction 2 (no target),cost 2 (best solution),Tmin,Tmax,runtime (s),two opts,two opts with improvement,relocates,relocates with improvement,global relocates,global relocates with improvement,global exchanges,global exchanges with improvement
berlin52.tsp,NEARESTNEIGHBOR_MA,1.0,1.0,1.0,4.0,100000,ENERGY_CONSUMPTION,2550.6727037500004,"[802.585140625, 1050.6145350000002, 141.273028125]",3889.8127037500003,"[226.79150687500004, 757.7015068750001, 854.93969]",TIME,1907.7907407407408,0.1,500.0,13.54,3314,1652,2005,978,1616,751,11523,5772
berlin52.tsp,NEARESTNEIGHBOR_MA,1.0,1.0,1.0,4.0,100000,ENERGY_CONSUMPTION,2679.57270375,"[438.607873125, 1215.006351875, 369.58847875000004]",3889.8127037500003,"[226.79150687500004, 757.7015068750001, 854.93969]",TIME,2206.299614197531,0.1,500.0,13.56,2821,1390,2119,1093,1794,805,11348,5745
berlin52.tsp,NEARESTNEIGHBOR_MA,1.0,1.0,1.0,4.0,100000,ENERGY_CONSUMPTION,2720.7327037500004,"[684.7690843750001, 962.7233237500001, 621.5302956250001]",3889.8127037500003,"[226.79150687500004, 757.7015068750001, 854.93969]",TIME,1748.1992283950617,0.1,500.0,13.49,2715,1353,2070,1038,1512,715,11485,5770
berlin52.tsp,NEARESTNEIGHBOR_MA,1.0,1.0,1.0,4.0,100000,ENERGY_CONSUMPTION,2530.2927037500003,"[160.82545062500003, 451.52787312500004, 1268.0493800000002]",3889.8127037500003,"[226.79150687500004, 757.7015068750001, 854.93969]",TIME,2302.6716049382712,0.1,500.0,13.35,2966,1465,2154,1090,1851,867,11760,5906
berlin52.tsp,NEARESTNEIGHBOR_MA,1.0,1.0,1.0,4.0,100000,ENERGY_CONSUMPTION,2631.8827037500005,"[357.18029562500004, 460.70726750000006, 1214.3251406250001]",3889.8127037500003,"[226.79150687500004, 757.7015068750001, 854.93969]",TIME,2205.041435185185,0.1,500.0,13.36,2796,1411,2208,1081,1627,757,11589,5768
berlin52.tsp,NEARESTNEIGHBOR_MA,1.0,1.0,1.0,4.0,100000,ENERGY_CONSUMPTION,2690.2327037500004,"[1029.704535, 687.1502956250001, 480.08787312500004]",3889.8127037500003,"[226.79150687500004, 757.7015068750001, 854.93969]",TIME,1869.8277777777778,0.1,500.0,13.38,2719,1399,1972,967,1541,718,11353,5626
berlin52.tsp,NEARESTNEIGHBOR_MA,1.0,1.0,1.0,4.0,100000,ENERGY_CONSUMPTION,2624.8127037500003,"[61.033028125, 1080.0221125, 971.5675631250001]",3889.8127037500003,"[226.79150687500004, 757.7015068750001, 854.93969]",TIME,1961.1219135802467,0.1,500.0,13.29,2885,1453,1851,947,1629,770,11560,5751
berlin52.tsp,NEARESTNEIGHBOR_MA,1.0,1.0,1.0,4.0,100000,ENERGY_CONSUMPTION,2626.18270375,"[577.8402956250001, 919.0327181250001, 646.00969]",3889.8127037500003,"[226.79150687500004, 757.7015068750001, 854.93969]",TIME,1668.866435185185,0.1,500.0,13.24,2656,1360,1928,1007,1579,732,11511,5752
berlin52.tsp,NEARESTNEIGHBOR_MA,1.0,1.0,1.0,4.0,100000,ENERGY_CONSUMPTION,2587.00270375,"[174.253028125, 344.60029562500006, 1431.75938]",3889.8127037500003,"[226.79150687500004, 757.7015068750001, 854.93969]",TIME,2599.8938271604934,0.1,500.0,13.5,3086,1565,2117,1038,1567,784,11459,5724
berlin52.tsp,NEARESTNEIGHBOR_MA,1.0,1.0,1.0,4.0,100000,ENERGY_CONSUMPTION,2517.5427037500003,"[1634.0624081250003, 139.743028125, 144.33726750000002]",3889.8127037500003,"[226.79150687500004, 757.7015068750001, 854.93969]",TIME,2967.2701388888886,0.1,500.0,13.14,3737,1845,2209,1079,1625,769,11243,5695
berlin52.tsp,NEARESTNEIGHBOR_MA,1.0,1.0,1.0,4.0,100000,ENERGY_CONSUMPTION,2661.6827037499997,"[781.1602956250001, 510.68969000000004, 799.862718125]",3889.8127037500003,"[226.79150687500004, 757.7015068750001, 854.93969]",TIME,1452.5084104938271,0.1,500.0,13.61,2615,1320,1994,1010,1724,804,11535,5748
berlin52.tsp,NEARESTNEIGHBOR_MA,1.0,1.0,1.0,4.0,100000,ENERGY_CONSUMPTION,2567.18270375,"[936.377563125, 136.683028125, 862.5921125]",3889.8127037500003,"[226.79150687500004, 757.7015068750001, 854.93969]",TIME,1700.4756944444443,0.1,500.0,13.22,3549,1752,2114,1055,1728,751,11445,5707
berlin52.tsp,NEARESTNEIGHBOR_MA,1.0,1.0,1.0,4.0,100000,ENERGY_CONSUMPTION,2660.6227037500003,"[162.523028125, 947.4239293750001, 929.4057462500001]",3889.8127037500003,"[226.79150687500004, 757.7015068750001, 854.93969]",TIME,1720.4332561728395,0.1,500.0,13.61,2854,1472,2092,1054,1768,769,11514,5799
berlin52.tsp,NEARESTNEIGHBOR_MA,1.0,1.0,1.0,4.0,100000,ENERGY_CONSUMPTION,2778.6727037500004,"[500.995450625, 974.2827181250001, 1003.6945350000001]",3889.8127037500003,"[226.79150687500004, 757.7015068750001, 854.93969]",TIME,1822.6055555555556,0.1,500.0,13.29,2811,1413,2023,1006,1536,726,11447,5744
berlin52.tsp,NEARESTNEIGHBOR_MA,1.0,1.0,1.0,4.0,100000,ENERGY_CONSUMPTION,2853.5027037500004,"[330.487873125, 1285.8963518750002, 730.32847875]",3889.8127037500003,"[226.79150687500004, 757.7015068750001, 854.93969]",TIME,2335.0033179012344,0.1,500.0,13.56,2773,1363,2038,984,1505,713,11443,5724
berlin52.tsp,NEARESTNEIGHBOR_MA,1.0,1.0,1.0,4.0,100000,ENERGY_CONSUMPTION,2712.09270375,"[158.44302812499998, 1187.464535, 886.3951406250001]",3889.8127037500003,"[226.79150687500004, 757.7015068750001, 854.93969]",TIME,2156.2475308641974,0.1,500.0,13.33,3185,1624,2018,1082,1625,718,11387,5716
berlin52.tsp,NEARESTNEIGHBOR_MA,1.0,1.0,1.0,4.0,100000,ENERGY_CONSUMPTION,2680.5027037500004,"[1650.7224081250001, 15.641211250000001, 639.379084375]",3889.8127037500003,"[226.79150687500004, 757.7015068750001, 854.93969]",TIME,2997.5170524691357,0.1,500.0,13.42,2908,1455,2111,1087,3516,761,11445,5754
berlin52.tsp,NEARESTNEIGHBOR_MA,1.0,1.0,1.0,4.0,100000,ENERGY_CONSUMPTION,2583.84270375,"[1114.195140625, 158.44302812499998, 707.2145350000001]",3889.8127037500003,"[226.79150687500004, 757.7015068750001, 854.93969]",TIME,2023.251311728395,0.1,500.0,13.14,3096,1536,2021,1011,1754,763,11268,5608
berlin52.tsp,NEARESTNEIGHBOR_MA,1.0,1.0,1.0,4.0,100000,ENERGY_CONSUMPTION,2750.67270375,"[622.377873125, 1251.2169575, 547.407873125]",3889.8127037500003,"[226.79150687500004, 757.7015068750001, 854.93969]",TIME,2272.0521604938267,0.1,500.0,13.37,2820,1482,2010,967,1545,739,11379,5722
berlin52.tsp,NEARESTNEIGHBOR_MA,1.0,1.0,1.0,4.0,100000,ENERGY_CONSUMPTION,2558.75270375,"[221.344845, 614.727873125, 1132.729985625]",3889.8127037500003,"[226.79150687500004, 757.7015068750001, 854.93969]",TIME,2057.0210648148145,0.1,500.0,13.25,2913,1452,2061,1041,1636,750,11452,5770
berlin52.tsp,NEARESTNEIGHBOR_MA,1.0,1.0,1.0,4.0,100000,ENERGY_CONSUMPTION,2683.96270375,"[1008.110295625, 1103.99938, 53.723028125000006]",3889.8127037500003,"[226.79150687500004, 757.7015068750001, 854.93969]",TIME,2004.832098765432,0.1,500.0,13.32,3157,1577,2016,997,1563,761,11409,5670
berlin52.tsp,NEARESTNEIGHBOR_MA,1.0,1.0,1.0,4.0,100000,ENERGY_CONSUMPTION,2637.32270375,"[795.612718125, 719.1121125, 697.347873125]",3889.8127037500003,"[226.79150687500004, 757.7015068750001, 854.93969]",TIME,1444.792361111111,0.1,500.0,13.36,2677,1400,1981,970,1522,725,11461,5730
berlin52.tsp,NEARESTNEIGHBOR_MA,1.0,1.0,1.0,4.0,100000,ENERGY_CONSUMPTION,2770.45270375,"[477.53787312500003, 97.753028125, 1781.7918025000001]",3889.8127037500003,"[226.79150687500004, 757.7015068750001, 854.93969]",TIME,3235.451543209876,0.1,500.0,13.52,3038,1546,1815,876,1860,777,11575,5834
berlin52.tsp,NEARESTNEIGHBOR_MA,1.0,1.0,1.0,4.0,100000,ENERGY_CONSUMPTION,2520.22270375,"[109.314845, 780.8202956250001, 1075.777563125]",3889.8127037500003,"[226.79150687500004, 757.7015068750001, 854.93969]",TIME,1953.5621141975307,0.1,500.0,13.29,2981,1515,2128,1068,1582,756,11401,5628
berlin52.tsp,NEARESTNEIGHBOR_MA,1.0,1.0,1.0,4.0,100000,ENERGY_CONSUMPTION,2702.73270375,"[812.9502956250001, 158.44302812499998, 1172.16938]",3889.8127037500003,"[226.79150687500004, 757.7015068750001, 854.93969]",TIME,2128.5975308641973,0.1,500.0,13.52,2961,1463,2066,1037,1516,736,11158,5633
